timeClose,close,volume,marketCap
2024-01-22T23:59:59.999Z,39507.369,31338708142.69,774565393660.75
2024-01-23T23:59:59.999Z,39845.551,29244553045.3,781234029910.6
2024-01-24T23:59:59.999Z,40077.073,22359526178.02,785809931670.85
2024-01-25T23:59:59.999Z,39933.808,18491782013.19,783046781497.74
2024-01-26T23:59:59.999Z,41816.873,25598119893.13,820011355201.19
2024-01-27T23:59:59.999Z,42120.056,11422941934.26,826001135532.44
2024-01-28T23:59:59.999Z,42035.594,16858971687.07,824387868796.11
2024-01-29T23:59:59.999Z,43288.245,20668476578.33,848995300207.95
2024-01-30T23:59:59.999Z,42952.608,23842814517.72,842451754278.67
2024-01-31T23:59:59.999Z,42582.606,24673628793.16,835231465697.41
2024-02-01T23:59:59.999Z,43075.775,21423953779.18,844943939979.73
2024-02-02T23:59:59.999Z,43185.859,18603843039.33,847154029604.95
2024-02-03T23:59:59.999Z,42992.250,11169245236.24,843398823395.77
2024-02-04T23:59:59.999Z,42583.583,14802225490.25,835421763160.27
2024-02-05T23:59:59.999Z,42658.666,18715487317.32,836936067591.3
2024-02-06T23:59:59.999Z,43084.672,16798476725.59,845338495831.28
2024-02-07T23:59:59.999Z,44318.224,21126587774.95,869585299010.09
2024-02-08T23:59:59.999Z,45301.567,26154524080.46,888921474480.5
2024-02-09T23:59:59.999Z,47147.200,39316770843.67,925184504544.07
2024-02-10T23:59:59.999Z,47771.277,16398681569.88,937476684153.25
2024-02-11T23:59:59.999Z,48293.917,19315867135.91,947774152969.59
2024-02-12T23:59:59.999Z,49958.224,34511985804.6,980490999415.43
2024-02-13T23:59:59.999Z,49742.441,35593051468.37,976299863551.89
2024-02-14T23:59:59.999Z,51826.696,39105608049.68,1017254026224.34
2024-02-15T23:59:59.999Z,51938.556,38564360532.5,1019499948270.3
2024-02-16T23:59:59.999Z,52160.203,28180567297.56,1023893671410.46
2024-02-17T23:59:59.999Z,51662.995,20009091006.1,1014181383158.99
2024-02-18T23:59:59.999Z,52122.545,17595377310.88,1023243073518.32
2024-02-19T23:59:59.999Z,51779.144,21362184346.21,1016544621994
2024-02-20T23:59:59.999Z,52284.874,33353758255.74,1026519013526.24
2024-02-21T23:59:59.999Z,51839.181,28624907019.65,1017814980562.83
2024-02-22T23:59:59.999Z,51304.974,25413900610.68,1007369631450.12
2024-02-23T23:59:59.999Z,50731.949,21427078269.5,996165857694.38
2024-02-24T23:59:59.999Z,51571.103,15174077878.77,1012689168467.94
2024-02-25T23:59:59.999Z,51733.237,15413239244.6,1015926591604.23
2024-02-26T23:59:59.999Z,54522.402,34074411896.32,1070743961954.77
2024-02-27T23:59:59.999Z,57085.372,49756832031.01,1121125657664.09
2024-02-28T23:59:59.999Z,62504.789,83239156760.06,1227615937615.29
2024-02-29T23:59:59.999Z,61198.383,65496611843.55,1202008882583.53
2024-03-01T23:59:59.999Z,62440.633,40186368422.95,1226468270480.94
2024-03-02T23:59:59.999Z,62029.846,23888473684.9,1218449164616.58
2024-03-03T23:59:59.999Z,63167.370,26253811449.72,1240856664934.87
2024-03-04T23:59:59.999Z,68330.416,70670471104.67,1342332633739.21
2024-03-05T23:59:59.999Z,63801.198,102802940877.32,1252930339355.95
2024-03-06T23:59:59.999Z,66106.803,68750229073.49,1298635184349.89
2024-03-07T23:59:59.999Z,66925.483,46989543159.21,1315182056071.44
2024-03-08T23:59:59.999Z,68300.096,59202881172.24,1341992893970.51
2024-03-09T23:59:59.999Z,68498.881,21609650379.03,1346014614977.61
2024-03-10T23:59:59.999Z,69019.786,35683977531.52,1356284493147.36
2024-03-11T23:59:59.999Z,72123.904,65716656764.81,1417380747795.66
2024-03-12T23:59:59.999Z,71481.292,62554434520.34,1404810311680.06
2024-03-13T23:59:59.999Z,73083.501,48212536929.31,1436271822605.71
2024-03-14T23:59:59.999Z,71396.590,59594605698.01,1403092953865.88
2024-03-15T23:59:59.999Z,69403.772,78320453975.56,1363928841106.55
2024-03-16T23:59:59.999Z,65315.117,46842198370.83,1283870289169.9
2024-03-17T23:59:59.999Z,68390.623,44716864318.25,1343978205472.65
2024-03-18T23:59:59.999Z,67548.592,49261579492.09,1328015048454.29
2024-03-19T23:59:59.999Z,61912.773,74215844794.11,1217479093665.71
2024-03-20T23:59:59.999Z,67913.673,66792634382.18,1335131959554.81
2024-03-21T23:59:59.999Z,65491.390,44480350564.9,1287574561970.88
2024-03-22T23:59:59.999Z,63778.763,41401116964.03,1254457600697.83
2024-03-23T23:59:59.999Z,64062.202,24738964812.32,1259788729090.63
2024-03-24T23:59:59.999Z,67234.172,27206630673.06,1322058484488.52
2024-03-25T23:59:59.999Z,69958.814,42700139522.64,1375150091236.61
2024-03-26T23:59:59.999Z,69987.839,36010437368.41,1376403313500.46
2024-03-27T23:59:59.999Z,69455.341,40827113309.13,1365860349594.74
2024-03-28T23:59:59.999Z,70744.952,34374900617.48,1391336144443.54
2024-03-29T23:59:59.999Z,69892.829,25230851762.56,1374656364302.31
2024-03-30T23:59:59.999Z,69645.306,17130241882.57,1369892136469.29
2024-03-31T23:59:59.999Z,71333.648,20050941372.83,1403108244335.61
2024-04-01T23:59:59.999Z,69702.146,34873527352.32,1371141394063.27
2024-04-02T23:59:59.999Z,65446.974,50705240709.24,1287439112104
2024-04-03T23:59:59.999Z,65980.809,34488018367.47,1297904385609.21
2024-04-04T23:59:59.999Z,68508.842,34439527441.54,1347932221575.71
2024-04-05T23:59:59.999Z,67837.643,33748230055.84,1334713625915.92
2024-04-06T23:59:59.999Z,68896.110,19967785808.97,1355566990096.02
2024-04-07T23:59:59.999Z,69362.551,21204930368.78,1364795785582.02
2024-04-08T23:59:59.999Z,71631.357,37261432669.09,1409529731787.86
2024-04-09T23:59:59.999Z,69139.016,36426900409.13,1360554169765.49
2024-04-10T23:59:59.999Z,70587.879,38318601774.43,1388869502130.74
2024-04-11T23:59:59.999Z,70060.607,30153382941.04,1378806199022.17
2024-04-12T23:59:59.999Z,67195.864,44129299406.24,1322318848762.9
